"﻿""id""",username,date,time,tweet,replies_count,retweets_count,likes_count,mentions,pos_neg,pos,neg
1.24504e18,sanchezcastejon,2020-04-01,01:08:28,"Aprobamos nuevas medidas para proteger a familias, trabajadores y autónomos ante la emergencia del COVID-19, para #AmpliarEscudoSocial. Estamos orgullosos de la respuesta ejemplar del pueblo español. Nadie debe quedar atrás. #EsteVirusLoParamosUnidos
 https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/presidencia/Paginas/2020/31032020_medidascovid.aspx … pic.twitter.com/c2BRp8c64H",2393,1916,5652,[],Neutral,0.4554887236046972,0.5445112763953011
1.23817e18,sanchezcastejon,2020-03-13,02:11:21,"Estamos ante una emergencia sanitaria sin precedentes. @sanidadgob ha sugerido ya a todas las CC.AA. implementar medidas de distanciamiento social. Debemos hacerlo a la vez, con responsabilidad y disciplina, para lograr frenar el #Covid_19 lo antes posible.
#FrenarLaCurva pic.twitter.com/4XAx139m8b",988,825,1846,['sanidadgob'],Positive,0.9576997981889542,0.042300201811049626
1.23815e18,sanchezcastejon,2020-03-13,01:23:47,"No escatimaremos esfuerzos para reducir las consecuencias del #Covid_19. Hoy aprobamos un primer paquete de medidas para:

-Combatir la enfermedad 
-Respaldar a las familias 
-Proteger el empleo, a pymes y autónomos 
-Atender a los sectores más afectados

 https://www.lamoncloa.gob.es/presidente/actividades/Paginas/2020/100320-comparecenciasanch.aspx … pic.twitter.com/J0ZTwzRjVR",571,588,1387,[],Neutral,0.4423458912821347,0.557654108717861
1.23814e18,sanchezcastejon,2020-03-13,00:20:23,"Cada ciudadano y ciudadana debe cuidarse para cuidar así de los demás. Si queremos vencer al #Covid_19 cuanto antes, necesitamos seguir las recomendaciones oficiales. Responsabilidad y disciplina social. Con nuestro esfuerzo personal contribuiremos a la victoria frente al virus. pic.twitter.com/32DPvXHRvX",1784,2001,4519,[],Negative,0.019354583202727586,0.9806454167972702
1.2462e18,sanchezcastejon,2020-04-04,06:07:11,"Thanks from my heart. Your solidarity with Spain encourages us to keep up the fight against the #COVID19  pandemic. These are hard times but thru discipline and generosity we will win this battle and come out stronger and better.
#EsteVirusLoParamosUnidos #StrongerTogether",453,292,1433,[],Negative,0.22174667519296543,0.7782533248070324
1.24619e18,sanchezcastejon,2020-04-04,05:54:35,"Gracias de corazón. Vuestra solidaridad con España nos anima en la lucha contra la pandemia del #COVID19. Son tiempos difíciles, pero desde la generosidad y la disciplina, superaremos esta batalla y saldremos más fuertes y mejores.
#EsteVirusLoParamosUnidos #StrongerTogether pic.twitter.com/1tKEv5svfP",4670,2915,14922,[],Negative,0.08232551544692646,0.9176744845530752
1.2457e18,sanchezcastejon,2020-04-02,21:07:27,"Estos días de aislamiento resultan especialmente duros para las personas con #TEA. Quiero enviarles todo el apoyo y agradecerles de corazón, en mi nombre y en el de toda la sociedad, su esfuerzo ejemplar en la lucha contra el #COVID19. #DíaMundialAutismo pic.twitter.com/CMOxURnL5a",1006,1288,4533,[],Neutral,0.4379819058700753,0.562018094129924
1.24542e18,sanchezcastejon,2020-04-02,02:56:37,"Un día más es un día menos. Gracias al esfuerzo de todos y todas venceremos al #COVID19. Somos un gran país, una sociedad unida y solidaria que estos días está mostrando lo mejor de sí misma. No bajemos la guardia, sigamos adelante, lo vamos a conseguir. #EsteVirusLoParamosUnidos pic.twitter.com/ZiPK1YKyom",4000,2344,10139,[],Negative,0.1524266980655959,0.8475733019344024
1.24504e18,sanchezcastejon,2020-04-01,01:08:28,"Aprobamos nuevas medidas para proteger a familias, trabajadores y autónomos ante la emergencia del COVID-19, para #AmpliarEscudoSocial. Estamos orgullosos de la respuesta ejemplar del pueblo español. Nadie debe quedar atrás. #EsteVirusLoParamosUnidos
 https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/presidencia/Paginas/2020/31032020_medidascovid.aspx … pic.twitter.com/c2BRp8c64H",2393,1916,5652,[],Neutral,0.4554887236046972,0.5445112763953011
1.24358e18,sanchezcastejon,2020-03-28,00:51:14,"Aprobamos un nuevo paquete de medidas para proteger a los trabajadores y trabajadoras.

-No estará justificado el despido por causas relacionadas con el #COVID19
-Los contratos temporales deberán reanudarse tras la emergencia.

No dejaremos a nadie atrás.
#CMin #ProhibidoDespedir pic.twitter.com/kmH0s3kom7",4250,1952,5773,[],Negative,0.21206055701614512,0.787939442983856
