"word","num"
"conversation",71
"e",71
"public",70
"able",70
"disgrace",70
"michael",69
"especially",69
"hand",69
"november",69
"intelligence",69
"conference",68
"name",68
"bob",68
"fraud",67
"sleepy",67
"failing",67
"prayer",67
"illegally",67
"reform",67
"entire",67
"nato",67
"hurricane",67
"forget",66
"dnc",66
"free",66
"potential",66
"push",66
"canada",66
"break",66
"represent",66
"looking",66
"nuclear",66
"turkey",66
"leadership",65
"phone",65
"horrible",65
"decade",65
"robert",65
"rigged",65
"progress",65
"foreign",65
"evidence",65
"50",65
"question",65
"page",65
"discuss",64
"focus",64
"reporting",64
"attorney",64
"director",64
"refuse",64
"france",64
"transcript",64
"committee",64
"steel",64
"die",63
"deliver",63
"politics",63
"heading",63
"top",63
"loudobbs",63
"alabama",63
"historic",63
"andrew",62
"2",62
"whole",62
"brave",62
"community",61
"past",61
"xi",61
"impeach",61
"less",61
"strongly",60
"replace",60
"peace",60
"product",60
"evening",60
"primary",60
"land",59
"small",59
"return",59
"chance",59
"1",59
"concern",59
"west",59
"debate",59
"wait",59
"three",59
"seanhannity",59
"though",59
"investigate",59
"un",59
"cover",58
"thousand",58
"politician",58
"amazing",58
"mini",58
"opponent",58
"jeff",58
"w/",57
"rule",57
"fema",57
"car",57
"issue",57
"agreement",57
"billions",57
"puerto",57
"rico",57
"enough",56
"hopefully",56
"kag2020",56
"speech",56
"promise",56
"event",56
"tuesday",55
"old",55
"elect",55
"host",55
"plus",54
"idea",54
"veterans",54
"leak",54
"freedom",54
"middle",54
"chairman",54
"commit",54
"witness",54
"fine",53
"mayor",53
"local",53
"cause",53
"hate",53
"spy",53
"patrol",53
"except",52
"buy",52
"david",52
"step",52
"police",52
"drop",52
"official",52
"dead",52
"east",52
"catch",52
"mccabe",52
"powerful",52
"peter",52
"flotus",52
"usmca",52
"jong",52
"crisis",51
"correct",51
"everybody",51
"follow",51
"supporter",51
"nobody",51
"pour",51
"louisiana",51
"corruption",51
"thought",51
"testify",51
"citizen",50
"celebrate",50
"prove",50
"closely",50
"situation",50
"remain",50
"reserve",50
"senators",50
"so-called",50
"choice",50
"ukrainian",50
"dan",50
"coronavirus",49
"michigan",49
"wish",49
"10",49
"maybe",49
"rebuild",49
"add",49
"growth",49
"exist",49
"inform",49
"term",49
"hero",49
"effort",48
"consider",48
"working",48
"confidence",48
"pressure",48
"district",48
"subject",48
"farmer",48
"union",48
"different",47
"representative",47
"truth",47
"consumer",47
"4",47
"deserve",47
"nbc",47
"making",47
"steve",47
"shifty",47
"probably",47
"germany",47
"hour",47
"mention",46
"across",46
"death",46
"rather",46
"voter",46
"beginning",46
"miss",46
"sure",46
"amount",46
"13",46
"defense",46
"certain",46
"georgia",46
"school",46
"kevin",46
"tariff",46
"abuse",46
"legal",46
"human",46
