word,num
repdebdingell,1
leesmithdc,1
astro_christina,1
astro_jessica,1
foxnetworks,1
corybooker,1
michaelcburgess,1
babin4congress,1
repdonbacon,1
foxbus,1
kellyannepolls,1
gantzbe,1
whnsc,1
txrandy14,1
judgejohncarter,1
reprwilliams,1
paulkrugman,1
serenawilliams,1
kbsalsaud,1
karlrove,1
mactxpress,1
hascrepublicans,1
sascmajority,1
bradyfortexas,1
scottrtipton,1
buddy_carter,1
markwaynemullin,1
jeanineanez,1
foxnewpolls,1
armynavygame,1
jason_meister,1
brettkavanaugh,1
jimpressoffice,1
colbycovmma,1
ami_magazine,1
jaketurx,1
meetthepress,1
titoortiz,1
senalexander,1
lancegooden,1
10downingstreet,1
doks_art,1
cline4virginia,1
buckmcneely1,1
katrinapierson,1
franklingraham,1
billoreilly,1
donaldjtrumpjr,1
pearsonsharp,1
danawhite,1
tombrokaw,1
nationals,1
fiatchrysler_na,1
globlautomkrs,1
govdunleavy,1
martharaddatz,1
kamalaharris,1
lindseygraham,1
mazloumabdi,1
mustefabali,1
repmcclintock,1
steveducey,1
greggutfeldshow,1
debfisher,1
minneapolispd,1
wsjatlarge,1
ronjohnsonwi,1
andrewcmccarthy,1
senthomtillis,1
millerstream,1
blazetv,1
freedomcaucus,1
hyundai,1
kia,1
aptiv,1
apple,1
senshelby,1
freebeacon,1
kevinomccarthy,1
pnjaban,1
repdevinnunes,1
facebook,1
starcenter,1
yankees,1
guypbenson,1
alicetweet,1
condoleezzarice,1
jdanbishop,1
marksanford,1
johnlegend,1
lesterholtnbc,1
vanjones68,1
philiprucker,1
ashleyrparker,1
sarahhuckabee,1
govkemp,1
senatorfischer,1
jonkarl,1
gregabbott_tx,1
debramessing,1
noaa,1
readygov,1
flsert,1
reppeteking,1
fox,1
sandrasmithfox,1
andrewcuomo,1
realwayneroot,1
amvetshq,1
newsmax,1
iowastatefair,1
tedcruz,1
kevinolearytv,1
usatoday,1
americanewsroom,1
govofco,1
voteridplease,1
djaycameron,1
dhsmcaleenan,1
jaysekulow,1
chrisplanteshow,1
abcpolitics,1
swedishpm,1
kanyewest,1
worldgamesad,1
specialolyusa,1
pagop,1
sebgorka,1
drgregmurphy1,1
tamimbinhamad,1
mercedesschlapp,1
chucktodd,1
joebiden,1
teamtrump,1
trumpwarroom,1
parscale,1
timmurtaugh,1
marc_lotter,1
mpinoe,1
jedediahbila,1
lockheedmartin,1
sikorsky,1
markwarner,1
repadamschiff,1
markwarnerva,1
ncgop,1
ims,1
simonpagenaud,1
indycar,1
donnydeutsch,1
rick24barry,1
bettemidler,1
sadiqkhan,1
sen_joemanchin,1
nayibbukele,1
ralphnortham,1
af_academy,1
govmikedewine,1
govstitt,1
ianbremmer,1
philmickelson,1
quinnipiacpoll,1
newyorkpost,1
secretarysonny,1
justinamash,1
steveforbesceo,1
secbernhardt,1
govparsonmo,1
govpritzker,1
senmikelee,1
rxsummit,1
jack,1
twitter,1
johnkerry,1
pontifex,1
cher,1
frankluntz,1
wsjopinion,1
jensstoltenberg,1
httweets,1
repralphnorman,1
heathernauert,1
kennedynation,1
thedailybeast,1
arthelneville,1
lelandvittert,1
govricketts,1
anncoulter,1
ericbolling,1
westgatevegas,1
starparker,1
lauraingram,1
governorkayivey,1
djohnsonpga,1
jussiesmollett,1
mjrcitieschiefs,1
mcsheriffs,1
tvanews,1
thehill,1
johnrobertsfox,1
gillianhturner,1
dougwead,1
fitnessgov,1
kusinews,1
spoxdhs,1
tsa,1
ryanzinke,1
tim_cook,1
iiimef,1
votebradraff,1
stevenmnuchin1,1
realdrgina,1
mgoodwin_nypost,1
replamalfa,1
kencalvert,1
tomreedcongress,1
jerrybrowngov,1
mbwdc,1
terrybranstad,1
andrewgillum,1
debbiestabenow,1
votemarsha,1
johnfasony,1
morriseywv,1
carolmillerwv,1
walkerstapleton,1
kevinyoder,1
erik_paulsen,1
cathymcmorris,1
rodblum,1
jaketapper,1
buddforcongress,1
markharrisnc9,1
brucepoliquin,1
mikedunleavygov,1
lloydsmuckerpa,1
johnchrin,1
reploubarletta,1
toyotacenter,1
andrews_jba,1
dunncampaign,1
agpambondi,1
karinhousley,1
tomemmer,1
petesessions,1
sandyhook,1
moonriver365,1
jaywebbernj,1
prezydentpl,1
nycemergencymgt,1
savannahguthrie,1
todayshow,1
rasmussen_poll,1
carlbernstein,1
ukenyatta,1
jimbrownnfl32,1
nwshonolulu,1
parisdennard,1
dianeharkey,1
darrellissa,1
harleydavidson,1
lenaepstein,1
thefive,1
repdesantis,1
johnjamesmi,1
irf_ambassador,1
mike_pence,1
sharkgregnorman,1
amykremer,1
repclayhiggins,1
jimmyfallon,1
nvgop,1
rothfusforpa,1
nfib,1
kevincramer,1
rogerwicker,1
kimkardashian,1
sbalist,1
cortessteve,1
mbuhari,1
jimrenacci,1
gcsoflorida,1
norad_northcom,1
naskeywest,1
nscsafety,1
bernieandsid,1
77wabcradio,1
kerstikaljulaid,1
grybauskaite_lt,1
vejonis,1
anna_giaritelli,1
ustraderep,1
howiecarrshow,1
ambjohnbolton,1
senatecommerce,1
repbost,1
realromadowney,1
senatorwicker,1
judgenapolitano,1
orrinhatch,1
olympics,1
elonmusk,1
spacex,1
uscis,1
alain_berset,1
squawkcnbc,1
govmattbevin,1
march_for_life,1
farmbureau,1
dcsheriff,1
jamiejmcintyre,1
foxandfrlends,1
philbryantms,1
secretaryacosta,1
usdol,1
cfpb,1
theplumlinegs,1
billygraham,1
ussarizona,1
federalreserve,1
broadcom,1
joy_villa,1
danpatrick,1
reince,1
bpolitics,1
bradthor,1
nfl,1
heritage,1
tbn,1
presidentscup,1
impdnews,1
usun,1
marianorajoy,1
cia,1
dougburgum,1
brentsanfordnd,1
senatorheitkamp,1
nationalguard,1
sendrelief,1
redcross,1
salvationarmyus,1
tombossert45,1
louisianagov,1
americanlegion,1
marty_walsh,1
kissimmeepolice,1
mayorgimenez,1
merck,1
lisamurkowski,1
senjohnmccain,1
usembassyfrance,1
polizeihamburg,1
greta,1
cubs,1
marineband,1
jc_varela,1
wctc,1
faithandfreedom,1
johncornyn,1
uscgacademy,1
libertyu,1
pga_johndaly,1
worldjewishcong,1
astropeggy,1
patriots,1
ossoff,1
kingabdullahii,1
fbi,1
jclayfield,1
larsloekke,1
repkenbuck,1
republicanstudy,1
endakennytd,1
snoopdogg,1
mayorbowser,1
senateyouth,1
hotlinejosh,1
liliantintori,1
israelipm,1
betsydevos,1
intel,1
nordstrom,1
samsung,1
thebrodyfile,1
cbnnews,1
romoabcnews,1
