id,username,date,time,tweet,replies_count,retweets_count,likes_count,mentions
1235665090432708608,realdonaldtrump,2020-03-06,04:34:49,"Gallup just gave us the highest rating ever for the way we are handling the CoronaVirus situation. The April 2009-10 Swine Flu, where nearly 13,000 people died in the U.S., was poorly handled. Ask MSDNC & lightweight Washington failure @RonaldKlain, who the President was then?",17470,17806,72367,['ronaldklain']
1235604572850343937,realdonaldtrump,2020-03-06,00:34:21,"With approximately 100,000 CoronaVirus cases worldwide, and 3,280 deaths, the United States, because of quick action on closing our borders, has, as of now, only 129 cases (40 Americans brought in) and 11 deaths. We are working very hard to keep these numbers as low as possible!",26646,26567,139681,[]
1235594306297253889,realdonaldtrump,2020-03-05,23:53:33,"“I want to commend the President for how he has handled the CoronaVirus situation, especially his early decision to shut down access into our Country from China, despite strong opposition to that decision.” @SenTomCotton Thank you Tom!",5654,12200,56257,['sentomcotton']
1235573492004904961,realdonaldtrump,2020-03-05,22:30:50,"I NEVER said people that are feeling sick should go to work. This is just more Fake News and disinformation put out by the Democrats, in particular MSDNC. Comcast covers the CoronaVirus situation horribly, only looking to do harm to the incredible & successful effort being made!",24238,25738,102410,[]
1235351025349013505,realdonaldtrump,2020-03-05,07:46:50,"Congress has agreed to provide $8 Billion to fight Coronavirus! This means @CDCgov, @HHSGov, and @DHSgov will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health, our Economy, and our Nation!",5767,13789,60744,"['cdcgov', 'hhsgov', 'dhsgov']"
1234728724219691008,realdonaldtrump,2020-03-03,14:34:02,"Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us....",3459,14279,57017,[]
1234211248373403648,realdonaldtrump,2020-03-02,04:17:46,"A Poll in today’s New York Post says that 77% of “U.S. adults have confidence in their government’s ability to handle the Coronavirus (Number One), compared to other health threats.” 64% for Zika, 58% for Ebola. Others way down on list. Our professionals are doing a great job!",15035,22851,99163,[]
1234109126864707585,realdonaldtrump,2020-03-01,21:31:59,"Coronavirus: In addition to screening travelers “prior to boarding” from certain designated high risk countries, or areas within those countries, they will also be screened when they arrive in America. Thank you! @VP @SecAzar @CDCgov @CDCDirector",9439,17853,70831,"['vp', 'secazar', 'cdcgov', 'cdcdirector']"
1233799741630230530,realdonaldtrump,2020-03-01,01:02:35,I will be having a 1:30 P.M. Press Conference at the White House to discuss the latest CoronaVirus developments. Thank you!,23143,21032,117714,[]
1233266386291580931,realdonaldtrump,2020-02-28,13:43:14,"The Do Nothing Democrats were busy wasting time on the Immigration Hoax, & anything else they could do to make the Republican Party look bad, while I was busy calling early BORDER & FLIGHT closings, putting us way ahead in our battle with Coronavirus. Dems called it VERY wrong!",12910,21716,88532,[]
1233256774964273152,realdonaldtrump,2020-02-28,13:05:02,"So, the Coronavirus, which started in China and spread to various countries throughout the world, but very slowly in the U.S. because President Trump closed our border, and ended flights, VERY EARLY, is now being blamed, by the Do Nothing Democrats, to be the fault of “Trump”.",32376,34570,158062,[]
1233220106324451328,realdonaldtrump,2020-02-28,10:39:20,"Congratulations and thank you to our great Vice President & all of the many professionals doing such a fine job at CDC & all other agencies on the Coronavirus situation. Only a very small number in U.S., & China numbers look to be going down. All countries working well together!",12258,20753,97844,[]
1233208695099666433,realdonaldtrump,2020-02-28,09:53:59,“Anti-Trump Network @CNN doing whatever it can to stoke a national Coronavirus panic. The far left Network pretty much ignoring anyone who they interview who doesn’t blame President Trump.” @trish_regan @FoxNews Media refuses to discuss the great job our professionals are doing!,13716,21663,78701,"['cnn', 'trish_regan', 'foxnews']"
1232631333408649216,realdonaldtrump,2020-02-26,19:39:45,"Just landed. India was great, trip very successful. Heading to the White House. Meetings and calls scheduled today. @CDCgov, @SecAzar and all doing a great job with respect to Coronavirus! Briefing this afternoon.",7173,17571,98381,"['cdcgov', 'secazar']"
1232565919043317761,realdonaldtrump,2020-02-26,15:19:49,"“U.S. acted on the Coronavirus very, very quickly.” Gordon Chang  @IngrahamAngle",4567,11239,54255,['ingrahamangle']
1232492821501771776,realdonaldtrump,2020-02-26,10:29:21,"CDC and my Administration are doing a GREAT job of handling Coronavirus, including the very early closing of our borders to certain areas of the world. It was opposed by the Dems, “too soon”, but turned out to be the correct decision. No matter how well we do, however, the.....",13400,25132,108471,[]
1232304804820467714,realdonaldtrump,2020-02-25,22:02:15,"Cryin’ Chuck Schumer is complaining, for publicity purposes only, that I should be asking for more money than $2.5 Billion to prepare for Coronavirus. If I asked for more he would say it is too much. He didn’t like my early travel closings. I was right. He is incompetent!",15742,28040,123891,[]
1232058127740174339,realdonaldtrump,2020-02-25,05:42:02,The Coronavirus is very much under control in the USA. We are in contact with everyone and all relevant countries. CDC & World Health have been working hard and very smart. Stock Market starting to look very good to me!,34028,31894,142397,[]
1225728755248828416,realdonaldtrump,2020-02-07,18:31:22,"Just had a long and very good conversation by phone with President Xi of China. He is strong, sharp and powerfully focused on leading the counterattack on the Coronavirus. He feels they are doing very well, even building hospitals in a matter of only days. Nothing is easy, but...",6694,16844,99619,[]
1223004106408833025,realdonaldtrump,2020-01-31,06:04:35,"Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S., all in good recovery.",11408,22478,136124,[]
1222672488934584324,realdonaldtrump,2020-01-30,08:06:52,"Just received a briefing on the Coronavirus in China from all of our GREAT agencies, who are also working closely with China. We will continue to monitor the ongoing developments. We have the best experts anywhere in the world, and they are on top of it 24/7!  pic.twitter.com/rrtF1Stk78",10304,17018,72917,[]
1220818115354923009,realdonaldtrump,2020-01-25,05:18:15,"China has been working very hard to contain the Coronavirus. The United States greatly appreciates their efforts and transparency. It will all work out well. In particular, on behalf of the American People, I want to thank President Xi!",11156,24306,124703,[]
