id,username,date,time,tweet,place,geo,replies_count,retweets_count,likes_count,pos_neg
1.20E+18,realdonaldtrump,2019/11/21,20:31:40,"During my visit yesterday to Austin, Texas, for the startup of the new Mac Pro, & the discussion of a new one $billion campus, also in Texas, I asked Tim Cook to see if he could get Apple involved in building 5G in the U.S. They have it all - Money, Technology, Vision & Cook!l",,,4702,12369,53657,Positive
1.18E+18,realdonaldtrump,2019/10/7,19:51:43,"We just WON the big court case on Net Neutrality Rules! A great win for the future and speed of the internet. Will lead to many big things including 5G. Congratulations to the FCC and its Chairman, Ajit Pai!",,,7626,17345,75419,Positive
1.10E+18,realdonaldtrump,2019/2/21,21:55:02,"I want 5G, and even 6G, technology in the United States as soon as possible. It is far more powerful, faster, and smarter than the current standard. American companies must step up their efforts, or get left behind. There is no reason that we should be lagging behind on.........",,,29131,25551,133903,Positive
