date,num
2017/10/12,12
2017/10/13,10
2017/10/14,12
2017/10/15,3
2017/10/16,6
2017/10/17,2
2017/10/18,17
2017/10/19,12
2017/10/20,8
2017/10/21,9
2017/10/22,11
2017/10/23,3
2017/10/24,7
2017/10/25,8
2017/10/26,14
2017/10/27,11
2017/10/28,9
2017/10/29,12
2017/10/30,4
2017/10/31,6
2017/11/1,15
2017/11/2,15
2017/11/3,22
2017/11/4,8
2017/11/5,5
2017/11/6,3
2017/11/7,13
2017/11/8,12
2017/11/9,3
2017/11/10,10
2017/11/11,2
2017/11/12,9
2017/11/13,4
2017/11/14,7
2017/11/15,8
2017/11/16,8
2017/11/17,8
2017/11/18,3
2017/11/20,8
2017/11/22,7
2017/11/23,8
2017/11/24,8
2017/11/25,2
2017/11/26,7
2017/11/27,5
2017/11/28,5
2017/11/29,16
2017/11/30,14
2017/12/1,9
2017/12/2,4
2017/12/3,12
2017/12/4,4
2017/12/6,3
2017/12/7,5
2017/12/8,9
2017/12/9,11
2017/12/10,8
2017/12/11,2
2017/12/12,4
2017/12/13,5
2017/12/14,2
2017/12/15,6
2017/12/16,6
2017/12/17,2
2017/12/18,5
2017/12/19,11
2017/12/20,3
2017/12/21,8
2017/12/22,7
2017/12/23,5
2017/12/24,7
2017/12/25,4
2017/12/26,3
2017/12/27,1
2017/12/28,4
2017/12/29,8
2017/12/30,1
2017/12/31,9
2018/1/1,8
2018/1/2,9
2018/1/3,8
2018/1/4,8
2018/1/5,7
2018/1/6,7
2018/1/7,3
2018/1/8,5
2018/1/9,4
2018/1/10,10
2018/1/11,11
2018/1/12,14
2018/1/13,5
2018/1/14,7
2018/1/15,2
2018/1/16,6
2018/1/17,5
2018/1/18,13
2018/1/19,4
2018/1/20,11
2018/1/21,5
2018/1/22,4
2018/1/23,5
2018/1/24,3
2018/1/25,3
2018/1/26,7
2018/1/27,4
2018/1/28,6
2018/1/30,1
2018/1/31,1
2018/2/1,3
2018/2/2,3
2018/2/3,5
2018/2/4,3
2018/2/5,7
2018/2/6,3
2018/2/7,6
2018/2/8,5
2018/2/9,8
2018/2/10,4
2018/2/11,5
2018/2/12,6
2018/2/13,3
2018/2/15,6
2018/2/16,6
2018/2/17,2
2018/2/18,14
2018/2/19,4
2018/2/20,13
2018/2/21,6
2018/2/22,10
2018/2/23,7
2018/2/24,6
2018/2/25,10
2018/2/27,4
2018/2/28,10
2018/3/1,6
2018/3/2,12
2018/3/3,2
2018/3/4,3
2018/3/5,6
2018/3/6,8
2018/3/7,6
2018/3/8,1
2018/3/9,5
2018/3/10,7
2018/3/11,13
2018/3/12,5
2018/3/13,7
2018/3/14,7
2018/3/15,7
2018/3/16,4
2018/3/17,4
2018/3/18,6
2018/3/19,2
2018/3/20,2
2018/3/21,4
2018/3/22,6
2018/3/23,6
2018/3/24,3
2018/3/25,8
2018/3/26,3
2018/3/27,2
2018/3/28,4
2018/3/29,7
2018/3/30,3
2018/3/31,4
2018/4/1,4
2018/4/2,8
2018/4/3,11
2018/4/4,8
2018/4/5,3
2018/4/6,5
2018/4/7,3
2018/4/8,13
2018/4/9,2
2018/4/10,5
2018/4/11,10
2018/4/12,7
2018/4/13,8
2018/4/14,5
2018/4/15,8
2018/4/16,2
2018/4/17,4
2018/4/18,14
2018/4/19,7
2018/4/20,14
2018/4/21,12
2018/4/22,9
2018/4/23,7
2018/4/24,1
2018/4/25,11
2018/4/26,2
2018/4/27,10
2018/4/28,7
2018/4/29,5
2018/4/30,5
2018/5/1,9
2018/5/2,7
2018/5/3,9
2018/5/4,9
2018/5/5,7
2018/5/6,1
2018/5/7,9
2018/5/8,5
2018/5/9,8
2018/5/10,7
2018/5/11,1
2018/5/12,4
2018/5/13,5
2018/5/14,6
2018/5/15,6
2018/5/16,9
2018/5/17,9
2018/5/18,10
2018/5/19,5
2018/5/20,9
2018/5/21,11
2018/5/22,1
2018/5/23,15
2018/5/24,8
2018/5/25,10
2018/5/26,14
2018/5/27,7
2018/5/28,7
2018/5/29,12
2018/5/30,5
2018/5/31,14
2018/6/1,5
2018/6/2,4
2018/6/3,11
2018/6/4,9
2018/6/5,18
2018/6/6,15
2018/6/7,15
2018/6/8,12
2018/6/9,1
2018/6/10,10
2018/6/11,7
2018/6/12,6
2018/6/13,20
2018/6/14,8
2018/6/15,9
2018/6/16,9
2018/6/17,9
2018/6/18,12
2018/6/19,7
2018/6/20,9
2018/6/21,16
2018/6/22,17
2018/6/23,12
2018/6/24,9
2018/6/25,11
2018/6/26,16
2018/6/27,12
2018/6/28,16
2018/6/29,3
2018/6/30,7
2018/7/1,7
2018/7/2,2
2018/7/3,11
2018/7/4,9
2018/7/5,5
2018/7/6,6
2018/7/7,4
2018/7/8,3
2018/7/9,7
2018/7/10,10
2018/7/11,7
2018/7/12,12
2018/7/13,4
2018/7/14,9
2018/7/15,1
2018/7/16,9
2018/7/17,10
2018/7/18,10
2018/7/19,14
2018/7/20,6
2018/7/21,3
2018/7/22,9
2018/7/23,12
2018/7/24,10
2018/7/25,12
2018/7/26,14
2018/7/27,14
2018/7/28,8
2018/7/29,8
2018/7/30,8
2018/7/31,20
2018/8/1,14
2018/8/2,9
2018/8/3,8
2018/8/4,14
2018/8/5,15
2018/8/6,5
2018/8/7,6
2018/8/8,9
2018/8/9,3
2018/8/10,9
2018/8/11,8
2018/8/12,8
2018/8/13,4
2018/8/14,23
2018/8/15,14
2018/8/16,11
2018/8/17,19
2018/8/18,14
2018/8/19,9
2018/8/20,7
2018/8/21,14
2018/8/22,9
2018/8/23,11
2018/8/24,12
2018/8/25,17
2018/8/26,4
2018/8/27,5
2018/8/28,11
2018/8/29,20
2018/8/30,20
2018/8/31,4
2018/9/1,16
2018/9/2,9
2018/9/3,3
2018/9/4,7
2018/9/5,21
2018/9/6,10
2018/9/7,9
2018/9/8,7
2018/9/9,13
2018/9/10,9
2018/9/11,15
2018/9/12,12
2018/9/13,12
2018/9/14,6
2018/9/15,9
2018/9/16,10
2018/9/17,10
2018/9/18,15
2018/9/19,9
2018/9/20,10
2018/9/21,18
2018/9/22,9
2018/9/23,1
2018/9/24,4
2018/9/25,14
2018/9/26,11
2018/9/27,5
2018/9/28,1
2018/9/29,1
2018/9/30,5
2018/10/1,7
2018/10/2,5
2018/10/3,20
2018/10/4,6
2018/10/5,10
2018/10/7,8
2018/10/8,2
2018/10/9,11
2018/10/10,10
2018/10/11,10
2018/10/12,5
2018/10/13,10
2018/10/14,11
2018/10/15,8
2018/10/16,13
2018/10/17,17
2018/10/18,16
2018/10/19,13
2018/10/20,13
2018/10/21,5
2018/10/22,10
2018/10/23,17
2018/10/24,8
2018/10/25,8
2018/10/26,18
2018/10/27,15
2018/10/28,6
2018/10/29,9
2018/10/30,15
2018/10/31,12
2018/11/1,9
2018/11/2,9
2018/11/3,15
2018/11/4,15
2018/11/5,15
2018/11/6,12
2018/11/7,17
2018/11/8,4
2018/11/9,4
2018/11/10,13
2018/11/11,7
2018/11/12,7
2018/11/13,9
2018/11/14,6
2018/11/15,10
2018/11/16,4
2018/11/17,9
2018/11/18,5
2018/11/19,8
2018/11/20,2
2018/11/21,6
2018/11/22,13
2018/11/23,3
2018/11/24,2
2018/11/25,7
2018/11/26,9
2018/11/27,9
2018/11/28,8
2018/11/29,8
2018/11/30,17
2018/12/1,7
2018/12/3,11
2018/12/4,8
