id,username,date,time,tweet,place,geo,replies_count,retweets_count,likes_count,pos_neg
1.03E+18,realdonaldtrump,2018/8/30,5:23:10,"...of money on joint U.S.-South Korea war games. Besides, the President can instantly start the joint exercises again with South Korea, and Japan, if he so chooses. If he does, they will be far bigger than ever before. As for the U.S.–China trade disputes, and other...",,,2192,8744,40355,Negative
1.03E+18,realdonaldtrump,2018/8/30,5:23:08,"STATEMENT FROM THE WHITE HOUSE

President Donald J. Trump feels strongly that North Korea is under tremendous pressure from China because of our major trade disputes with the Chinese Government. At the same time, we also know that China is providing North Korea with...",,,7938,13439,54787,Negative
9.83E+17,realdonaldtrump,2018/4/8,20:12:35,"President Xi and I will always be friends, no matter what happens with our dispute on trade. China will take down its Trade Barriers because it is the right thing to do. Taxes will become Reciprocal & a deal will be made on Intellectual Property. Great future for both countries!",,,15290,20134,96017,Positive
