country,name,head,twittername,twitter@
RWANDA,Madame Louise Mushikiwabo,Ministre des Affaires étrangères et de la coopération de la République du Rwanda,Louise Mushikiwabo,@LMushikiwabo
SAUDI ARABIA,King Salman Bin Abdulaziz Al-Saud,King of Saudi Arabia and Prime Minister of the Kingdom of Saudi Arabia,سلمان بن عبدالعزيز,@KingSalman
SAUDI ARABIA,Mr. Adel Ahmed Al-Jubeir,Minister for Foreign Affairs of the Kingdom of Saudi Arabia,Adel Aljubeir عادل الجبير,@AdelAljubeir
SENEGAL,Monsieur Macky Sall,Président de la République du Sénégal,Macky Sall,@Macky_Sall
SENEGAL,Mr. Aleksandar Vučić,Prime Minister of the Republic of Serbia,Александар Вучић,@avucic
SENEGAL,Mr. Lee Hsien Loong,Prime Minister of the Republic of Singapore,Lee Hsien Loong,@leehsienloong
SENEGAL,Dr. Vivian Balakrishnan,Minister for Foreign Affairs of the Republic of Singapore,Vivian Balakrishnan,@VivianBala
SLOVAKIA,Mr. Andrej Kiska,President of the Slovak Republic,Andrej Kiska,@Andrej_Kiska
SLOVAKIA,Mr. Miroslav Lajčák,Minister for Foreign and European Affairs of the Slovak Republic,Miroslav Lajčák,@MiroslavLajcak
SLOVENIA,Mr. Borut Pahor,President of the Republic of Slovenia,Borut Pahor,@BorutPahor
SLOVENIA,Mr. Miro Cerar,Prime Minister of the Republic of Slovenia,dr. Miro Cerar,@MiroCerar
