id,username,date,time,tweet,place,geo,replies_count,retweets_count,likes_count,mentions
1246907386079539201,turnbullmalcolm,2020-04-06,05:07:41,Unfortunately this is behind a pay wall but @mrjoeaston does set out the history.,,,111,3,43,['mrjoeaston']
1246906568831987712,turnbullmalcolm,2020-04-06,05:04:27,"Kevin Rudd's NBN lies, redux http://www.afr.com/brand/rear-window/kevin-rudd-s-nbn-lies-redux-20200405-p54h78?btis …",,,545,30,173,[]
1246621669541548034,turnbullmalcolm,2020-04-05,10:12:21,Just for the record we are on HFC,,,11,0,5,"['craig03470710', 'd7b', 'mrkrudd']"
1246524279933427713,turnbullmalcolm,2020-04-05,03:45:22,'Gruffalo stayed in the cave': Axel Scheffler and Julia Donaldson's coronavirus cartoons https://www.theguardian.com/books/gallery/2020/apr/04/gruffalo-axel-scheffler-and-julia-donaldsons-coronavirus-cartoons?CMP=Share_iOSApp_Other …,,,6,19,103,[]
1246175336405938176,turnbullmalcolm,2020-04-04,04:38:47,The denial of science by the populist right imperils our lives and our democracy. Scientist @amirhusain_tx describes how denialism has eroded American authority and leadership. https://twitter.com/amirhusain_tx/status/1245844850664226816 …,,,140,155,700,['amirhusain_tx']
1246006943786733573,turnbullmalcolm,2020-04-03,17:29:39,the part of the network which faces most pressure is the fixed wireless in regional and peri-urban areas. This was part of Labor’s plan (like the satellite) we did not change. Concurrent streaming at current levels not anticipated a decade ago. Addressing this ia high priority.,,,81,1,13,['rhysam']
1245997915329277953,turnbullmalcolm,2020-04-03,16:53:47,So Kevin’s conspiracy theory is nonsense. Streaming has smashed pay TV models around the world. In that sense the NBN’s earlier completion means it got smashed here sooner.,,,61,8,31,['rhysam']
1245997512739016705,turnbullmalcolm,2020-04-03,16:52:11,But the key point is this: our approach to NBN meant millions more Australians got high speed broadband sooner and cheaper than would have happened under labor. Streaming which is what was smashed the pay TV business became available to more Australians sooner,,,381,10,52,['rhysam']
1245996727494041606,turnbullmalcolm,2020-04-03,16:49:03,Okay. One more time. If Labor’s plan had continued half of australia would still be on ADSL. Thanks to our plan the NBN is almost finished. Over 90% can get 50 mbps and almost all can get 25 mbps. 1/2,,,1670,28,128,['rhysam']
1245156901857312768,turnbullmalcolm,2020-04-01,09:11:53,Thank you Gladys! https://twitter.com/GladysB/status/1245156361433796609 …,,,21,6,126,[]
1245103211813302272,turnbullmalcolm,2020-04-01,05:38:33,Hooray for Bluey! https://twitter.com/Daley_Pearson/status/1244969792101990400 …,,,10,9,223,[]
1244934753783910401,turnbullmalcolm,2020-03-31,18:29:09,"That’s good news!. Norman thank you for your calm, clear and consistently well informed commentary. https://twitter.com/normanswan/status/1244760931977973760 …",,,34,38,736,[]
1244504918897000449,turnbullmalcolm,2020-03-30,14:01:09,This is a very good decision @ScottMorrisonMP and @JoshFrydenberg . We need to keep workers employed - the wage subsidy makes that possible for millions. https://twitter.com/leighsales/status/1244498446322552832 …,,,131,104,1263,"['scottmorrisonmp', 'joshfrydenberg']"
1244143218129686531,turnbullmalcolm,2020-03-29,14:03:52,“We overcome the twin vices of self-interest and fear by actively rejecting them. The ancient Athenians failed to do this in the face of a plague and lost their democracy. Now the same choice is ours.” https://www.theatlantic.com/ideas/archive/2020/03/great-plague-athens-has-eerie-parallels-today/608545/ …,,,187,284,941,[]
1243499978934431750,turnbullmalcolm,2020-03-27,19:27:52,"Take care Boris, get well soon. Look forward to your returning to the rudest of good health. Your clear unequivocal messages are being heard around the world.  #stayhome #SupportOurHealthCareWorkers #BeatTheVirus",,,74,77,807,['borisjohnson']
