id,username,date,time,tweet,replies_count,retweets_count,likes_count,mentions
648515743252922368,hassanrouhani,2015-09-28,23:12:56,Met with the #Chinese President. Both sides working on Joint Commission for Strategic Coop to be hosted in Iran.  pic.twitter.com/63X0el90Oj,9,65,96,[]
581140862731751424,hassanrouhani,2015-03-27,01:09:13,"As #IranTalks resume, liaised with Chinese, Russian, French & British counterparts re nuclear deal & regional developments. #YemenAttack",25,170,183,[]
566999132922216448,hassanrouhani,2015-02-16,00:35:02,"China's role critical & effective in reaching a comprehensive #nuclear deal. ~meeting with the #Chinese FM, Wang Yi.  pic.twitter.com/ZlzY14atXS",15,99,105,[]
405414842686648320,hassanrouhani,2013-11-27,03:16:45,Previous admin had created job opportunities--yet it was for the Chinese and Koreans. It's time we start creating jobs for IRANIANS #100Day,7,65,42,[]
378077061010554881,hassanrouhani,2013-09-12,16:46:10,"Rouhani to meet w/ Russian & Chinese Presidents, @PutinRF_ENG & Xi Jinping, for talks on issues of mutual interest. 
 http://www.presstv.ir/detail/2013/09/12/323437/iran-pres-leaves-tehran-for-sco-summit/ …",8,36,8,['putinrf_eng']
340510305496989696,hassanrouhani,2013-06-01,00:49:17,"#Rouhani: We need to #stop selling raw materials such as mineral ores etc. Chinese buy our raw material, process it then sell it back to us",0,1,0,[]
340450690906329091,hassanrouhani,2013-05-31,20:52:24,"#Rouhani: We need to stop selling raw materials such as mineral ores etc. Chinese buy our raw material, process it, then sell it back to us",0,1,0,[]
